source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s
1892,star,0.25817297412844131,0.91012701681769281,0.48425076863939465,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1893,star,0.67622225910967804,0.54212177854604993,0.078670766614665363,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1894,star,0.81744028966917115,0.52193512025401667,0.3890495230469051,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1895,star,0.82743980630465408,0.0021051175608107998,0.071790026028613008,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1896,star,0.73792012995628653,0.54574662458913359,0.0039616315035233439,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1897,star,0.57509444918400243,0.30426329547172654,0.3725965081652024,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1898,star,0.58567337083930626,0.1541377227300206,0.49250769904655906,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1899,star,0.59660407364946888,0.47829418451608602,0.32106465964076009,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1900,star,0.56504379752534306,0.12130506462578988,0.49674376655568897,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1901,star,0.69278927869795026,0.43613166826917621,0.10445668012160692,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1902,star,0.72307322240024074,0.28007464719636888,0.059833182430700002,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
