# Intermediate legacy extraction. No age axis is present.
# Do not use directly as a time-dependent canonical table.
source,channel,initial_mass,birth_metallicity,wind_mass,wind_fraction,net_H,net_He,net_C,net_N,net_O,net_Ne,net_Mg,net_Si,net_S,net_Ca,net_Fe,net_Z_TOTAL
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,7.00000000000000000e+00,7.00000000000000015e-03,5.95999999999999996e+00,8.50999999999999979e-01,-5.35479999999999956e-01,5.52189999999999959e-01,-3.88830099999999982e-03,2.63111000000000005e-02,-8.23113600000000001e-03,3.81034600000000026e-04,7.06622099999999992e-04,1.20948399999999996e-04,2.39082499999999993e-05,-2.42577500000000000e-05,4.71973599999999977e-04,-1.67099999999999992e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,7.50000000000000000e+00,7.00000000000000015e-03,6.38400000000000034e+00,8.50999999999999979e-01,-6.06032000000000015e-01,6.26839999999999953e-01,-4.11023399999999994e-03,2.41778300000000008e-02,-7.75977300000000019e-03,2.79673999999999992e-04,7.57383399999999956e-04,1.71423699999999997e-04,2.58680600000000012e-05,-2.59109399999999990e-05,5.04977299999999981e-04,-2.08080000000000001e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.00000000000000000e+00,1.40000000000000003e-02,4.14999999999999980e-01,4.14999999999999980e-01,-5.99400000000000020e-03,8.19699999999999943e-03,-1.11714700000000003e-04,1.74797199999999987e-04,3.19004500000000005e-05,1.23775699999999995e-05,9.15442200000000049e-05,1.25959000000000008e-05,3.56413399999999998e-06,-3.30236599999999983e-06,6.73319599999999956e-05,-2.20300000000000010e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.25000000000000000e+00,1.40000000000000003e-02,6.45000000000000018e-01,5.16000000000000014e-01,-1.03000000000000001e-02,1.37479999999999998e-02,-3.24428199999999992e-04,4.45100600000000019e-04,5.29329900000000022e-05,1.93404499999999988e-05,1.42322499999999991e-04,1.96159700000000012e-05,5.55689600000000000e-06,-5.12920400000000006e-06,1.04723700000000002e-04,-3.44800000000000011e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.50000000000000000e+00,1.40000000000000003e-02,8.84000000000000008e-01,5.88999999999999968e-01,-1.80120000000000002e-02,1.95980000000000008e-02,2.13381600000000018e-03,7.84591200000000024e-04,2.24480399999999993e-04,2.41626600000000008e-04,1.94715199999999995e-04,2.70898999999999996e-05,7.51713400000000008e-06,-7.07996600000000031e-06,1.42859000000000009e-04,-1.58599999999999995e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.75000000000000000e+00,1.40000000000000003e-02,1.11200000000000010e+00,6.35000000000000009e-01,-1.97360000000000001e-02,2.14430000000000003e-02,2.56344299999999988e-03,1.08675099999999995e-03,2.69105200000000020e-04,6.15163300000000053e-04,2.47744599999999979e-04,3.42644500000000002e-05,9.31956699999999940e-06,-8.97393299999999918e-06,1.77944500000000010e-04,-1.70699999999999997e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.00000000000000000e+00,1.40000000000000003e-02,1.34000000000000008e+00,6.70000000000000040e-01,-2.16889999999999999e-02,2.31880000000000003e-02,3.67860000000000019e-03,1.26545999999999994e-03,2.17829999999999993e-04,8.51390000000000046e-04,3.00379999999999994e-04,4.14719999999999987e-05,1.13589999999999992e-05,-1.07540000000000007e-05,2.15109999999999992e-04,-1.49899999999999990e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.25000000000000000e+00,1.40000000000000003e-02,1.57499999999999996e+00,6.99999999999999956e-01,-2.54699999999999996e-02,2.69479999999999997e-02,4.46412700000000003e-03,1.53344900000000010e-03,1.66511900000000001e-04,1.15536200000000006e-03,3.55596000000000015e-04,4.86938799999999967e-05,1.31725800000000002e-05,-1.26868199999999999e-05,2.51698800000000017e-04,-1.47799999999999993e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.50000000000000000e+00,1.40000000000000003e-02,1.82099999999999995e+00,7.27999999999999980e-01,-4.22659999999999980e-02,4.08750000000000016e-02,7.50341200000000010e-03,2.04622400000000013e-03,2.94865700000000012e-05,1.83564300000000008e-03,4.17073300000000004e-04,5.67631300000000008e-05,1.50539699999999998e-05,-1.47460299999999995e-05,2.89441299999999976e-04,1.39100000000000009e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.75000000000000000e+00,1.40000000000000003e-02,2.06599999999999984e+00,7.51000000000000001e-01,-6.47159999999999958e-02,5.88359999999999994e-02,1.19378200000000000e-02,2.46709300000000006e-03,-1.44862699999999991e-04,2.74794099999999984e-03,4.81398699999999982e-04,6.49746299999999949e-05,1.67911899999999987e-05,-1.68468100000000001e-05,3.26366300000000020e-04,5.87999999999999981e-03
